continent,country,year,pop,gdpPercap,lifeexp,infmort,fertility
Europe,Albania,1960,1636054,,62.87,115.4,6.19
Europe,Albania,1965,1896125,,66.59,94.1,5.59
Europe,Albania,1970,2150602,,67.83,76.8,5.05
Europe,Albania,1975,2411229,,69.77,63.1,4.39
Europe,Albania,1980,2681245,1056.75041967444,71.39,64,3.68
Europe,Albania,1985,2966799,1056.5044527789,72.71,45.9,3.23
Europe,Albania,1990,3281453,980.158206745609,73.3,35.1,2.97
Europe,Albania,1995,3106727,909.738764300822,73.7,29.1,2.72
Europe,Albania,2000,3121965,1180.87466931884,74.7,23.2,2.38
Europe,Albania,2005,3082172,1555.24038632497,76.2,18.3,1.92
Europe,Albania,2010,2901883,2115.02805109648,77.2,14.8,1.74
Europe,Albania,2015,2896679,,78,12.5,1.78
Africa,Algeria,1960,11124892,1242.99204855202,47.5,148.2,7.65
Africa,Algeria,1965,12626953,1147.27881001854,50.09,149.1,7.66
Africa,Algeria,1970,14550033,1356.78768364305,52.41,146,7.64
Africa,Algeria,1975,16709098,1564.80235599791,55.24,128.7,7.42
Africa,Algeria,1980,19337723,1824.99419285301,60.92,101.1,6.89
Africa,Algeria,1985,22565908,1978.22703956783,67.18,57.2,5.98
Africa,Algeria,1990,25912364,1789.37390899572,70.2,39.7,4.76
Africa,Algeria,1995,28904300,1624.81567327353,71.6,36.3,3.45
Africa,Algeria,2000,31183658,1757.01192454715,73.3,33.9,2.51
Africa,Algeria,2005,33267887,2091.06120298533,74.8,28.8,2.51
Africa,Algeria,2010,36036159,2196.80292816446,76,23.5,2.82
Africa,Algeria,2015,39666519,,76.4,21.9,2.71
Africa,Angola,1960,5270844,,35.98,208,7.32
Africa,Angola,1965,5765025,,38.74,,7.43
Africa,Angola,1970,6300969,,41.5,180,7.3
Africa,Angola,1975,7107334,,44.22,,7.19
Africa,Angola,1980,8211950,,46.14,138.3,7.2
Africa,Angola,1985,9745209,740.74736211404,47.5,134.9,7.21
Africa,Angola,1990,11127870,760.600447255405,48.6,133.5,7.17
Africa,Angola,1995,13042666,513.586112685857,50.9,132.8,7.02
Africa,Angola,2000,15058638,606.242102439809,52.3,128.3,6.84
Africa,Angola,2005,17912942,817.497120629319,55.2,121.2,6.66
Africa,Angola,2010,21219954,1231.18378437578,57.6,109.6,6.22
Africa,Angola,2015,25021974,,59.6,96,5.65
Americas,Antigua and Barbuda,1960,54681,,62.97,,4.43
Americas,Antigua and Barbuda,1965,59653,,65.23,,4.19
Americas,Antigua and Barbuda,1970,65369,,67.19,,3.68
Americas,Antigua and Barbuda,1975,69253,,68.99,,2.7
Americas,Antigua and Barbuda,1980,70301,4634.37039017937,70.59,,2.12
Americas,Antigua and Barbuda,1985,65744,6410.11160410076,72.13,,2.09
Americas,Antigua and Barbuda,1990,61906,9499.22510742093,73.5,24,2.06
Americas,Antigua and Barbuda,1995,68349,9506.67480723932,73.5,18,2.21
Americas,Antigua and Barbuda,2000,77648,10335.4458659592,73.8,13.8,2.32
Americas,Antigua and Barbuda,2005,82565,11934.5821280203,74.9,10.4,2.22
Americas,Antigua and Barbuda,2010,87233,9591.40207375649,75.8,7.7,2.13
Americas,Antigua and Barbuda,2015,91818,,76.4,5.8,2.06
Americas,Argentina,1960,20619075,5253.50078260058,65.39,59.87,3.11
Americas,Argentina,1965,22283389,5859.09049660265,65.95,59.11,3.06
Americas,Argentina,1970,23973062,6614.07360982923,67.01,59.5,3.07
Americas,Argentina,1975,26066975,7084.85446681098,68.6,53.2,3.32
Americas,Argentina,1980,28105889,7547.43316512778,70.2,37.2,3.33
Americas,Argentina,1985,30388781,6139.16950962923,71.46,29,3.09
Americas,Argentina,1990,32729740,5567.07392044666,72.5,24.4,2.99
Americas,Argentina,1995,34994818,7151.28498673718,73.5,20.8,2.77
Americas,Argentina,2000,37057453,7669.27358121455,74.2,18,2.48
Americas,Argentina,2005,39145491,8011.80411491071,75.3,15.3,2.29
Americas,Argentina,2010,41222875,10537.9726727939,75.8,13,2.22
Americas,Argentina,2015,43416755,,76.5,11.1,2.15
Asia,Armenia,1960,1867396,,66.86,,4.55
Asia,Armenia,1965,2204650,,69.26,,3.98
Asia,Armenia,1970,2518408,,71.47,,3.21
Asia,Armenia,1975,2825650,,72.33,,2.75
Asia,Armenia,1980,3096298,,72.72,61.3,2.39
Asia,Armenia,1985,3339147,,71.7,51.4,2.48
Asia,Armenia,1990,3544695,795.378905378319,70.1,42.5,2.54
Asia,Armenia,1995,3223173,461.919360518346,69.1,33.7,1.8
Asia,Armenia,2000,3076098,621.424826192143,71.3,26.6,1.3
Asia,Armenia,2005,3014917,1127.80768923324,71.8,20.8,1.4
Asia,Armenia,2010,2963496,1384.27233004533,73,16.1,1.55
Asia,Armenia,2015,3017712,,74.7,12.6,1.41
Americas,Aruba,1960,54208,,65.66,,4.82
Americas,Aruba,1965,57360,,67.44,,3.84
Americas,Aruba,1970,59065,,69.14,,2.91
Americas,Aruba,1975,60655,,70.83,,2.51
Americas,Aruba,1980,60096,,72.29,,2.39
Americas,Aruba,1985,63028,,73.18,,2.33
Americas,Aruba,1990,62148,18467.6651058763,73.47,,2.25
Americas,Aruba,1995,80326,18951.7650573911,73.62,,2.06
Americas,Aruba,2000,90858,20456.7489158907,73.78,,1.87
Americas,Aruba,2005,100031,,74.32,,1.77
Americas,Aruba,2010,101597,,75.06,,1.7
Americas,Aruba,2015,103889,,75.72,,1.66
Oceania,Australia,1960,10292328,9393.19650170496,70.87,20.3,3.45
Oceania,Australia,1965,11368011,10631.4408163398,70.96,18.6,2.97
Oceania,Australia,1970,12904760,12288.5154425964,70.78,17.8,2.86
Oceania,Australia,1975,13892674,13342.9792576289,72.81,14.4,2.15
Oceania,Australia,1980,14708323,14490.8045260496,74.56,10.8,1.89
Oceania,Australia,1985,15791043,15475.8749769094,75.41,9.3,1.92
Oceania,Australia,1990,17096869,17468.1976023212,77,7.6,1.9
Oceania,Australia,1995,18124770,18573.1733053164,78.3,5.7,1.82
Oceania,Australia,2000,19107251,21818.28883684,79.8,5.1,1.76
Oceania,Australia,2005,20274282,24151.3740753927,81.2,4.8,1.79
Oceania,Australia,2010,22162863,25405.0859397091,82,4.1,1.89
Oceania,Australia,2015,23968973,,82.3,3,1.88
Europe,Austria,1960,7065525,7415.25925971531,68.75,37.3,2.7
Europe,Austria,1965,7298794,8893.32892694327,69.92,28.3,2.7
Europe,Austria,1970,7509746,11035.7116476376,70.07,25,2.29
Europe,Austria,1975,7628138,13175.6863934554,71.28,19.8,1.83
Europe,Austria,1980,7597269,15570.9917890231,72.64,13.9,1.65
Europe,Austria,1985,7600514,16723.1807572488,73.95,10.7,1.47
Europe,Austria,1990,7706571,19120.5463311763,75.7,8,1.46
Europe,Austria,1995,7972833,20628.5276038016,76.8,5.7,1.42
Europe,Austria,2000,8050884,23857.1006555305,78.2,4.6,1.37
Europe,Austria,2005,8234858,25348.8104910856,79.5,4,1.41
Europe,Austria,2010,8391986,26686.667187481,80.5,3.6,1.44
Europe,Austria,2015,8544586,,81.3,2.9,1.5
Asia,Azerbaijan,1960,3897889,,61.33,,5.57
Asia,Azerbaijan,1965,4579759,,63.49,,5.35
Asia,Azerbaijan,1970,5178160,,65.48,,4.61
Asia,Azerbaijan,1975,5693796,,66.02,,3.95
Asia,Azerbaijan,1980,6163990,,65.55,95,3.29
Asia,Azerbaijan,1985,6674107,,66.37,79.9,2.95
Asia,Azerbaijan,1990,7216503,1240.77383685699,65.6,75.5,2.97
Asia,Azerbaijan,1995,7770806,482.340841091645,64.6,75.2,2.56
Asia,Azerbaijan,2000,8117742,649.517710220404,66.5,60.6,2.05
Asia,Azerbaijan,2005,8563398,1159.22139400738,68.2,44,1.99
Asia,Azerbaijan,2010,9099893,2333.07102391204,70.1,33.9,1.97
Asia,Azerbaijan,2015,9753968,,72.9,27.9,1.89
Americas,Bahamas,1960,109526,11926.5698555594,62,51,4.5
Americas,Bahamas,1965,140049,15375.8727231183,63.4,,4.06
Americas,Bahamas,1970,169356,16945.2776222868,64.61,26,3.53
Americas,Bahamas,1975,188882,11367.6897216251,65.74,27.2,3.23
Americas,Bahamas,1980,210660,17949.3036789139,66.75,25.2,2.99
Americas,Bahamas,1985,234684,19348.6930723867,67.67,23.4,2.86
Americas,Bahamas,1990,256338,19954.1478750712,68.5,19.7,2.64
Americas,Bahamas,1995,280151,18170.7622532134,69.7,15.6,2.51
Americas,Bahamas,2000,297891,21241.1653927108,70.2,13,2.07
Americas,Bahamas,2005,329243,20861.9801453638,71.7,12.6,1.85
Americas,Bahamas,2010,360830,18430.151703018,72.7,11.4,1.9
Americas,Bahamas,2015,388019,,73.7,9.9,1.88
Asia,Bahrain,1960,162501,,51.64,134.5,7.09
Asia,Bahrain,1965,187348,,58.1,88.6,7.17
Asia,Bahrain,1970,213102,,63.1,57.2,6.5
Asia,Bahrain,1975,266686,,66.63,37.7,5.56
Asia,Bahrain,1980,359902,11067.7319798167,69.09,26.8,4.92
Asia,Bahrain,1985,419425,8843.3445693509,70.73,21.1,4.36
Asia,Bahrain,1990,495944,9369.81879204104,71.8,19.5,3.74
Asia,Bahrain,1995,563730,11446.4461781349,73,15.5,3.1
Asia,Bahrain,2000,666855,11952.6597146306,73.7,10.9,2.77
Asia,Bahrain,2005,867014,12352.1447335337,76.1,9.3,2.45
Asia,Bahrain,2010,1261319,11241.0017418274,78.7,7.1,2.14
Asia,Bahrain,2015,1377237,,79.1,5.3,2.03
Asia,Bangladesh,1960,48200702,264.876465699607,46.2,176.3,6.73
Asia,Bangladesh,1965,55835020,286.990451888439,48.6,157.4,6.88
Asia,Bangladesh,1970,65048701,290.205780465931,46.31,149.5,6.95
Asia,Bangladesh,1975,71247153,233.987840875551,47.58,145.2,6.82
Asia,Bangladesh,1980,81364176,251.474924455697,53.18,133.7,6.36
Asia,Bangladesh,1985,93015182,263.993992142057,55.47,117.9,5.52
Asia,Bangladesh,1990,105983136,278.251518600091,57.9,99.7,4.55
Asia,Bangladesh,1995,118427768,308.694595434746,61.6,81,3.73
Asia,Bangladesh,2000,131280739,358.962981325082,64.9,64.4,3.12
Asia,Bangladesh,2005,142929979,429.532591423665,67.1,50.8,2.61
Asia,Bangladesh,2010,151616777,547.297514779647,68.8,39.2,2.28
Asia,Bangladesh,2015,160995642,,70.4,30.7,2.12
Americas,Barbados,1960,230934,3395.43062520027,61.8,69.5,4.33
Americas,Barbados,1965,235373,4346.02026570592,64.2,51.7,3.96
Americas,Barbados,1970,238847,6204.0256942729,66.31,41.1,3.11
Americas,Barbados,1975,246033,6369.73635650502,68.17,31.8,2.39
Americas,Barbados,1980,252197,7755.81406202294,69.91,23.8,2
